pmtid,pmtx,pmty,pmtz
3534,-1636.9054,420.28632,-781.39996
2844,-1129.343,1257.2527,915.39996
5489,-387.86063,-1644.8903,424.19998
6616,1075.7031,-1303.4426,781.39996
2576,-844.9994,1463.5833,0.0
3044,-1323.1981,1051.3071,636.3
9014,884.44995,742.35,1810.0
6093,454.4734,-1627.745,-145.09999
8604,600.24994,106.049995,1810.0
3335,-1543.8914,687.3859,-424.19998
8779,-36.05,388.85,1810.0
6664,1132.3153,-1254.5764,569.3
8275,388.15,-388.84998,1810.0
3167,-1445.5652,875.4664,-1484.7
3317,-1543.8914,687.3859,-1696.7999
5621,-176.6545,-1680.7418,-1060.5
6975,1407.6366,-935.23206,915.39996
177,1676.9233,209.82874,-145.09999
4312,-1570.5853,-623.98865,145.09999
3478,-1618.4468,486.5492,-1127.5
3659,-1665.9984,283.812,848.39996
2802,-1077.2461,1302.1677,1551.7
9922,-318.15,-530.25,-1810.0
2480,-721.3757,1528.3053,424.19998
8389,-1308.6499,-176.75,1810.0
9390,36.05,1590.7499,1810.0
10730,-1378.65,742.35,-1810.0
3094,-1368.413,991.73883,569.3
5195,-782.97174,-1497.6832,1272.6
4538,-1444.5289,-877.17505,1696.7999
8532,-1166.5499,35.35,1810.0
870,1279.3217,1104.2808,-1629.7999
5192,-782.97174,-1497.6832,1060.5
7948,-1166.5499,-883.75,1810.0
3719,-1676.9232,209.82979,1484.7
2824,-1129.343,1257.2527,-491.19995
4687,-1325.684,-1048.1708,1417.7
3759,-1684.0729,141.41614,703.3
7799,-1166.5499,-1166.5499,1810.0
